filename,count,deployment_id,timestamp,sun_cell_count,wind_gust_mean,wind_gust_mode,wind_gust_var,wind_observations,wind_speed_mean,wind_speed_mode,wind_speed_var
SC4_20231203143001.JPG,433,SC4,20231203143001,0,,,,,,,
SC4_20231203144001.JPG,436,SC4,20231203144001,0,4.06,4.5,0.38,10,2.82,2.7,0.29
SC4_20231203145001.JPG,525,SC4,20231203145001,0,3.58,2.9,0.43,10,2.44,2.0,0.14
SC4_20231203150000.JPG,495,SC4,20231203150000,0,3.62,4.0,0.62,10,2.42,3.4,0.38
SC4_20231203151001.JPG,417,SC4,20231203151001,0,3.13,2.7,0.68,11,2.03,2.2,0.26
SC4_20231203152001.JPG,417,SC4,20231203152001,0,2.7,2.0,0.69,10,1.83,1.3,0.32
SC4_20231203153001.JPG,426,SC4,20231203153001,0,3.36,3.6,0.66,10,2.1,2.2,0.21
SC4_20231203154001.JPG,425,SC4,20231203154001,0,3.54,3.6,0.4,10,2.39,2.5,0.17
SC4_20231203155001.JPG,413,SC4,20231203155001,0,3.63,2.9,0.68,10,2.57,2.2,0.36
SC4_20231203160001.JPG,423,SC4,20231203160001,0,3.57,2.9,0.46,10,2.56,2.9,0.13
SC4_20231203161001.JPG,526,SC4,20231203161001,0,2.85,2.7,0.22,10,1.97,2.0,0.15
SC4_20231203162001.JPG,436,SC4,20231203162001,0,3.55,4.0,0.32,10,2.44,2.7,0.16
SC4_20231203163001.JPG,617,SC4,20231203163001,0,3.0,2.7,0.2,10,1.99,1.8,0.15
SC4_20231203164001.JPG,616,SC4,20231203164001,0,3.31,2.9,0.34,10,2.3,2.2,0.18
SC4_20231203165001.JPG,438,SC4,20231203165001,0,3.11,2.7,0.43,10,2.15,1.8,0.18
SC4_20231203170001.JPG,420,SC4,20231203170001,0,3.71,2.9,2.38,10,2.28,2.2,1.1
SC4_20231203171001.JPG,420,SC4,20231203171001,0,2.02,2.0,1.58,10,1.07,1.3,0.78
SC4_20231203172002.JPG,420,SC4,20231203172002,0,2.01,2.0,0.7,10,1.2,1.3,0.37
SC4_20231203173001.JPG,420,SC4,20231203173001,0,1.99,2.0,0.27,10,1.13,0.4,0.24
SC4_20231203174001.JPG,420,SC4,20231203174001,0,2.09,1.6,0.3,10,1.39,1.1,0.13
SC4_20231203175001.JPG,420,SC4,20231203175001,0,2.0,1.6,0.31,10,1.24,1.1,0.08
SC4_20231203180001.JPG,420,SC4,20231203180001,0,0.71,0.0,0.91,10,0.42,0.0,0.42
SC4_20231203181001.JPG,420,SC4,20231203181001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231203182001.JPG,420,SC4,20231203182001,0,1.68,2.0,1.13,10,0.9,0.0,0.57
SC4_20231203183001.JPG,420,SC4,20231203183001,0,3.09,2.9,0.36,10,1.95,1.8,0.11
SC4_20231203184001.JPG,420,SC4,20231203184001,0,3.18,2.9,1.04,10,2.17,2.7,0.38
SC4_20231203185001.JPG,420,SC4,20231203185001,0,3.04,2.9,0.4,10,2.12,2.0,0.19
SC4_20231203190001.JPG,420,SC4,20231203190001,0,3.64,4.0,0.32,10,2.28,2.0,0.17
SC4_20231203191001.JPG,420,SC4,20231203191001,0,3.6,2.9,0.49,10,2.36,2.5,0.11
SC4_20231203192001.JPG,420,SC4,20231203192001,0,3.36,2.7,0.44,10,2.41,2.0,0.26
SC4_20231203193001.JPG,420,SC4,20231203193001,0,3.48,4.0,0.59,10,2.28,2.9,0.28
SC4_20231203194001.JPG,420,SC4,20231203194001,0,3.84,4.0,0.71,10,2.42,2.5,0.22
SC4_20231203195001.JPG,420,SC4,20231203195001,0,2.62,2.7,0.12,10,1.44,1.8,0.22
SC4_20231203200001.JPG,420,SC4,20231203200001,0,0.56,0.0,1.0,10,0.32,0.0,0.46
SC4_20231203201001.JPG,420,SC4,20231203201001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231203202001.JPG,420,SC4,20231203202001,0,1.39,2.0,1.01,10,0.9,1.3,0.51
SC4_20231203203001.JPG,420,SC4,20231203203001,0,2.76,2.7,0.29,10,1.72,1.8,0.06
SC4_20231203204001.JPG,420,SC4,20231203204001,0,1.68,2.0,0.66,10,0.93,1.3,0.44
SC4_20231203205001.JPG,420,SC4,20231203205001,0,2.02,2.9,0.99,10,1.15,0.0,0.54
SC4_20231203210001.JPG,420,SC4,20231203210001,0,2.8,2.7,0.29,10,1.9,2.0,0.12
SC4_20231203211001.JPG,420,SC4,20231203211001,0,1.1,0.0,1.14,10,0.57,0.0,0.45
SC4_20231203212001.JPG,420,SC4,20231203212001,0,0.92,0.0,0.74,10,0.45,0.0,0.32
SC4_20231203213001.JPG,420,SC4,20231203213001,0,1.68,2.0,0.16,10,1.05,1.1,0.15
SC4_20231203214001.JPG,420,SC4,20231203214001,0,2.49,2.7,0.2,10,1.71,1.8,0.11
SC4_20231203215001.JPG,420,SC4,20231203215001,0,2.22,2.0,0.24,10,1.55,1.6,0.06
SC4_20231203220001.JPG,420,SC4,20231203220001,0,2.3,2.0,0.15,10,1.68,1.6,0.01
SC4_20231203221001.JPG,420,SC4,20231203221001,0,2.26,2.0,0.2,10,1.67,1.6,0.14
SC4_20231203222001.JPG,420,SC4,20231203222001,0,1.72,2.0,0.39,10,1.21,1.6,0.28
SC4_20231203223001.JPG,420,SC4,20231203223001,0,1.63,1.6,0.06,10,1.08,1.3,0.14
SC4_20231203224001.JPG,420,SC4,20231203224001,0,0.57,0.0,0.58,10,0.33,0.0,0.24
SC4_20231203225001.JPG,420,SC4,20231203225001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231203230001.JPG,420,SC4,20231203230001,0,0.48,0.0,0.6,10,0.29,0.0,0.23
SC4_20231203231001.JPG,420,SC4,20231203231001,0,1.44,1.6,0.26,10,0.82,1.1,0.2
SC4_20231203232001.JPG,420,SC4,20231203232001,0,0.79,0.0,0.74,10,0.46,0.0,0.31
SC4_20231203233001.JPG,420,SC4,20231203233001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231203234001.JPG,420,SC4,20231203234001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231203235001.JPG,420,SC4,20231203235001,0,1.28,2.0,0.81,10,0.9,0.0,0.46
SC4_20231204000001.JPG,420,SC4,20231204000001,0,0.83,0.0,1.39,10,0.25,0.0,0.17
SC4_20231204001001.JPG,420,SC4,20231204001001,0,1.96,2.7,0.71,10,1.19,1.6,0.37
SC4_20231204002001.JPG,420,SC4,20231204002001,0,2.29,2.0,0.62,10,1.51,1.3,0.19
SC4_20231204003001.JPG,420,SC4,20231204003001,0,3.15,2.9,0.66,10,2.38,1.8,0.2
SC4_20231204004001.JPG,420,SC4,20231204004001,0,2.98,2.9,0.43,10,2.1,2.5,0.14
SC4_20231204005001.JPG,420,SC4,20231204005001,0,0.32,0.0,0.46,10,0.18,0.0,0.15
SC4_20231204010001.JPG,420,SC4,20231204010001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
SC4_20231204011001.JPG,420,SC4,20231204011001,0,0.0,0.0,0.0,10,0.0,0.0,0.0
