deployment,total_readings,anomalies,min_temp,max_temp,mean_temp
SC1,4338,2,1.0,22.0,13.132549562010142
SC10,3779,5,0.0,34.0,12.38771186440678
SC11,4449,1,0.0,25.0,10.62474690663667
SC12,1138,0,5.0,29.0,12.796133567662565
SC2,563,0,11.0,21.0,15.781527531083482
SC3,3952,4,1.0,71.0,13.355459842918673
SC4,4751,11,1.0,49.0,13.213048986486486
SC5,8514,7,0.0,27.0,12.325756683547285
SC6,3026,4,1.0,25.0,13.09184350132626
SC7,3035,7,0.0,25.0,11.775099075297225
SC8,3141,0,4.0,21.0,11.585031847133758
SC9,3782,0,3.0,37.0,13.404232804232803
SLC6_1,2455,9,0.0,36.0,14.837737407101569
SLC6_2,4754,12,1.0,72.0,14.382527565733673
UDMH1,1895,2,0.0,59.0,10.556443024494143
UDMH2,95,1,4.0,49.0,11.431818181818182
UDMH3,1897,8,1.0,29.0,13.499471458773785
UDMH4,502,0,8.0,21.0,12.95418326693227
